Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
"TaskEasy, Inc.'s Series A",https://www.crunchbase.com/funding-round/d9e840ab2f856773d3bf2ad9c1e84b0b,"TaskEasy, Inc.",https://www.crunchbase.com/organization/taskeasy,Series A,"$7,000,000 ",10/23/2014,6,
"TaskEasy, Inc.'s Series B",https://www.crunchbase.com/funding-round/4a34c9b1c378f5d65b4ca7b241fcad14,"TaskEasy, Inc.",https://www.crunchbase.com/organization/taskeasy,Series B,"$12,000,000 ",4/26/2016,5,
Vinli's Series A,https://www.crunchbase.com/funding-round/503de85df4b1e841dc64d4fe0220631c,Vinli,https://www.crunchbase.com/organization/vinli,Series A,"$7,000,000 ",6/8/2015,5,
Canopy's Seed Round,https://www.crunchbase.com/funding-round/93dfa0ebfaf2c68452e250132fa9f928,Canopy,https://www.crunchbase.com/organization/pack-purchase,Seed,"$1,500,000 ",9/9/2015,4,
Haven's Seed Round,https://www.crunchbase.com/funding-round/4bfea5c4d0b0338470437565b9fb870d,Haven,https://www.crunchbase.com/organization/porchlight-2,Seed,"$1,024,999 ",10/21/2014,2,
FindYahan's Angel Round,https://www.crunchbase.com/funding-round/9b9d04688cf4d2237d56df89d3a26172,FindYahan,https://www.crunchbase.com/organization/findyahan,Angel,,2/11/2015,2,
Codefied's Seed Round,https://www.crunchbase.com/funding-round/5f8992d94f5b52eb7827b31fb8f30fe0,Codefied,https://www.crunchbase.com/organization/codefied,Seed,"$1,500,000 ",12/26/2013,1,
Zolvers' Seed Round,https://www.crunchbase.com/funding-round/646d6f1f3a9e32c98ab1f51efd1f0eeb,Zolvers,https://www.crunchbase.com/organization/zolvers,Seed,"$53,000 ",5/1/2014,2,
Zolvers' Seed Round,https://www.crunchbase.com/funding-round/aed07c340f982b79a0b3ec04fab9ff6a,Zolvers,https://www.crunchbase.com/organization/zolvers,Seed,"$500,000 ",12/13/2014,2,
FindYahan's Venture Round,https://www.crunchbase.com/funding-round/775953c558bc64e6c846bd25e1656fb6,FindYahan,https://www.crunchbase.com/organization/findyahan,Series Unknown,,4/21/2015,1,
Pool My Ride's Venture Round,https://www.crunchbase.com/funding-round/7c5a79395b350f5af201e5976dc97baa,Pool My Ride,https://www.crunchbase.com/organization/pool-my-ride,Series Unknown,,1/15/2015,2,
Vinli's Venture Round,https://www.crunchbase.com/funding-round/18ad9231d807ad723c2725b7d421a037,Vinli,https://www.crunchbase.com/organization/vinli,Series Unknown,,3/1/2016,2,
PLOWZ & MOWZ's Seed Round,https://www.crunchbase.com/funding-round/5daeaaf60f8e7fe7b9a92a1459c21016,PLOWZ & MOWZ,https://www.crunchbase.com/organization/plowz-mowz,Seed,"$1,500,000 ",8/26/2016,1,
Garden Mate's Grant,https://www.crunchbase.com/funding-round/4f0ea6f6f160ca45c4cf59231564d083,Garden Mate,https://www.crunchbase.com/organization/garden-mate,Grant,"$150,000 ",4/1/2012,1,
"TaskEasy, Inc.'s Seed Round",https://www.crunchbase.com/funding-round/5fa9c36d2e5d9452f78052fc77547f92,"TaskEasy, Inc.",https://www.crunchbase.com/organization/taskeasy,Seed,"$2,621,250 ",12/6/2012,,
Greenbox Technologies' Seed Round,https://www.crunchbase.com/funding-round/40268720916b21c10b90fd76c0450c05,Greenbox Technologies,https://www.crunchbase.com/organization/greenbox-technologies,Seed,"$250,000 ",5/1/2013,,
Greenbox Technologies' Seed Round,https://www.crunchbase.com/funding-round/ba356cb55120c1c3fc3cf55f442d502f,Greenbox Technologies,https://www.crunchbase.com/organization/greenbox-technologies,Seed,"$200,000 ",6/25/2013,1,
"TaskEasy, Inc.'s Seed Round",https://www.crunchbase.com/funding-round/1a507a22a4a8e5a68166a12c76d6dc5a,"TaskEasy, Inc.",https://www.crunchbase.com/organization/taskeasy,Seed,"$2,270,000 ",3/25/2014,1,
Aquadation LLC's Venture Round,https://www.crunchbase.com/funding-round/48edb52f2d7a299aa7ce978d97f6fcbc,Aquadation LLC,https://www.crunchbase.com/organization/aquadation-llc,Series Unknown,"$700,000 ",5/17/2016,,
